Title,Author,Year,Units,Genres,BookId
Pride And Prejudice,Jane Austen,1813,4,Romance;Classic,1
To Kill A Mockingbird,Harper Lee,1960,6,Classic;Historical;Drama,2
The Great Gatsby,F Scott Fitzgerald,1925,2,Classic;Tragedy;American,3
Moby Dick,Herman Melville,1851,3,Adventure;Classic,4
War And Peace,Leo Tolstoy,1869,2,Historical;Classic;Epic,5
Crime And Punishment,Fyodor Dostoevsky,1866,4,Philosophical;Classic,6
The Catcher In The Rye,J D Salinger,1951,5,Classic;Coming Of Age,7
Brave New World,Aldous Huxley,1932,3,Dystopian;Science Fiction,8
Jane Eyre,Charlotte Bronte,1847,4,Romance;Classic;Gothic,9
Wuthering Heights,Emily Bronte,1847,2,Gothic;Romance;Classic,10
The Odyssey,Homer,-800,5,Mythology;Epic,11
The Iliad,Homer,-762,3,Mythology;Epic,12
The Divine Comedy,Dante Alighieri,1320,2,Poetry;Classic;Religious,13
Hamlet,William Shakespeare,1603,6,Drama;Tragedy;Classic,14
Macbeth,William Shakespeare,1606,5,Drama;Tragedy;Classic,15
Othello,William Shakespeare,1603,4,Drama;Tragedy;Classic,16
King Lear,William Shakespeare,1606,3,Drama;Tragedy;Classic,17
Romeo And Juliet,William Shakespeare,1597,5,Drama;Romance;Classic,18
Frankenstein,Mary Shelley,1818,3,Horror;Gothic;Classic,19
Dracula,Bram Stoker,1897,2,Horror;Gothic,20
A Tale Of Two Cities,Charles Dickens,1859,4,Classic;Historical,21
Great Expectations,Charles Dickens,1861,5,Classic;Coming Of Age,22
David Copperfield,Charles Dickens,1850,3,Classic;Drama,23
Oliver Twist,Charles Dickens,1838,6,Classic;Drama,24
Les Miserables,Victor Hugo,1862,4,Classic;Historical,25
The Count Of Monte Cristo,Alexandre Dumas,1844,3,Adventure;Classic,26
The Three Musketeers,Alexandre Dumas,1844,2,Adventure;Classic,27
Don Quixote,Miguel De Cervantes,1605,5,Classic;Satire,28
Ulysses,James Joyce,1922,2,Modernist;Classic,29
The Sound And The Fury,William Faulkner,1929,3,Modernist;Classic,30
As I Lay Dying,William Faulkner,1930,4,Modernist;Classic,31
The Grapes Of Wrath,John Steinbeck,1939,5,Classic;Historical,32
Of Mice And Men,John Steinbeck,1937,3,Classic;Drama,33
East Of Eden,John Steinbeck,1952,4,Classic;Drama,34
The Old Man And The Sea,Ernest Hemingway,1952,2,Classic;Adventure,35
A Farewell To Arms,Ernest Hemingway,1929,3,Classic;War,36
For Whom The Bell Tolls,Ernest Hemingway,1940,4,Classic;War,37
The Sun Also Rises,Ernest Hemingway,1926,5,Classic;Drama,38
Lolita,Vladimir Nabokov,1955,3,Modernist;Controversial,39
Anna Karenina,Leo Tolstoy,1877,4,Classic;Romance,40
Madame Bovary,Gustave Flaubert,1856,2,Classic;Romance,41
Fathers And Sons,Ivan Turgenev,1862,3,Classic;Philosophical,42
The Brothers Karamazov,Fyodor Dostoevsky,1880,4,Classic;Philosophical,43
Notes From Underground,Fyodor Dostoevsky,1864,2,Classic;Philosophical,44
The Stranger,Albert Camus,1942,3,Classic;Philosophical,45
The Plague,Albert Camus,1947,5,Classic;Philosophical,46
The Trial,Franz Kafka,1925,2,Classic;Philosophical,47
The Metamorphosis,Franz Kafka,1915,3,Classic;Surreal,48
In Search Of Lost Time,Marcel Proust,1913,2,Classic;Modernist,49
One Hundred Years Of Solitude,Gabriel Garcia Marquez,1967,4,Magical Realism;Classic,50
Love In The Time Of Cholera,Gabriel Garcia Marquez,1985,3,Romance;Magical Realism,51
The Alchemist,Paulo Coelho,1988,5,Philosophical;Adventure,52
The Name Of The Rose,Umberto Eco,1980,2,Mystery;Historical,53
Foucaults Pendulum,Umberto Eco,1988,3,Mystery;Philosophical,54
The Kite Runner,Khaled Hosseini,2003,6,Drama;Historical,55
A Thousand Splendid Suns,Khaled Hosseini,2007,5,Drama;Historical,56
Norwegian Wood,Haruki Murakami,1987,3,Romance;Drama,57
Kafka On The Shore,Haruki Murakami,2002,4,Surreal;Philosophical,58
Oneq84,Haruki Murakami,2009,3,Dystopian;Surreal,59
The Wind Up Bird Chronicle,Haruki Murakami,1994,2,Surreal;Mystery,60
The Road,Cormac McCarthy,2006,3,Dystopian;Post Apocalyptic,61
Blood Meridian,Cormac McCarthy,1985,2,Western;Classic,62
No Country For Old Men,Cormac McCarthy,2005,4,Crime;Thriller,63
The Shining,Stephen King,1977,5,Horror;Thriller,64
It,Stephen King,1986,3,Horror;Thriller,65
Misery,Stephen King,1987,2,Horror;Thriller,66
Carrie,Stephen King,1974,4,Horror;Thriller,67
Pet Sematary,Stephen King,1983,3,Horror;Thriller,68
The Stand,Stephen King,1978,5,Horror;Post Apocalyptic,69
The Outsider,Stephen King,2018,3,Horror;Thriller,70
Dune,Frank Herbert,1965,4,Science Fiction;Epic,71
Dune Messiah,Frank Herbert,1969,2,Science Fiction;Epic,72
